# Tetrahedron method
       -0.0781044698        0.0000000000
       -0.0715517469        0.0000000000
       -0.0649990240        0.0000000000
       -0.0584463011        0.0000000000
       -0.0518935782        0.0000000000
       -0.0453408554        0.0000000000
       -0.0387881325        0.0000000000
       -0.0322354096        0.0000000000
       -0.0256826867        0.0000000000
       -0.0191299638        0.0000000000
       -0.0125772409        0.0000000000
       -0.0060245181        0.0000000000
        0.0005282048        0.0000000000
        0.0070809277        0.0000000000
        0.0136336506        0.0000000000
        0.0201863735        0.0000000000
        0.0267390964        0.0000000000
        0.0332918192        0.0022633962
        0.0398445421        0.0307592048
        0.0463972650        0.0490173432
        0.0529499879        0.0658066459
        0.0595027108        0.0920004306
        0.0660554337        0.1235812574
        0.0726081565        0.1532172462
        0.0791608794        0.1844779288
        0.0857136023        0.2237499726
        0.0922663252        0.2580449315
        0.0988190481        0.3084731742
        0.1053717710        0.3474099127
        0.1119244938        0.3975076647
        0.1184772167        0.4410468168
        0.1250299396        0.4873779039
        0.1315826625        0.5378560735
        0.1381353854        0.5871192343
        0.1446881083        0.6441819645
        0.1512408311        0.7024985463
        0.1577935540        0.7603139470
        0.1643462769        0.8272466607
        0.1708989998        0.8922914444
        0.1774517227        0.9648199421
        0.1840044456        1.0419208591
        0.1905571684        1.1190862011
        0.1971098913        1.3422689671
        0.2036626142        1.2720351391
        0.2102153371        1.3263294263
        0.2167680600        1.4059933420
        0.2233207829        1.5808963077
        0.2298735057        1.6294321425
        0.2364262286        1.7104073597
        0.2429789515        1.7879193464
        0.2495316744        1.8813812645
        0.2560843973        1.9808285945
        0.2626371202        2.1101081596
        0.2691898430        2.2678657936
        0.2757425659        2.3703413754
        0.2822952888        2.4897966871
        0.2888480117        2.6188285597
        0.2954007346        2.7794296997
        0.3019534575        2.9262255558
        0.3085061803        3.0785621329
        0.3150589032        3.2283455843
        0.3216116261        3.3228699068
        0.3281643490        3.4784210992
        0.3347170719        3.6791592664
        0.3412697948        3.8898297424
        0.3478225176        4.0576086777
        0.3543752405        4.2699839003
        0.3609279634        4.4946858544
        0.3674806863        4.7149544362
        0.3740334092        4.9266980649
        0.3805861321        5.1922849911
        0.3871388549        5.4618959778
        0.3936915778        5.7552599292
        0.4002443007        6.0491086662
        0.4067970236        6.5329110425
        0.4133497465        6.6838688821
        0.4199024694        7.2266255159
        0.4264551922        7.5214545810
        0.4330079151        7.9994378214
        0.4395606380        8.6326428545
        0.4461133609        9.6886853603
        0.4526660838       10.1112340225
        0.4592188067       10.5825093847
        0.4657715295       11.2044159685
        0.4723242524       11.9755405957
        0.4788769753       12.3747288070
        0.4854296982       13.2380741330
        0.4919824211       13.3563093109
        0.4985351440       13.4745287846
        0.5050878668       13.6176707826
        0.5116405897       13.7730260652
        0.5181933126       14.0000139480
        0.5247460355       13.8070927819
        0.5312987584       14.1209981366
        0.5378514813       14.2323279003
        0.5444042041       14.3895933732
        0.5509569270       14.4789444115
        0.5575096499       14.6587759389
        0.5640623728       14.6932058186
        0.5706150957       14.5798077484
        0.5771678186       14.3697981369
        0.5837205414       14.9187934687
        0.5902732643       15.1744261770
        0.5968259872       15.1024169200
        0.6033787101       15.6834463000
        0.6099314330       15.4782911690
        0.6164841559       15.5957479592
        0.6230368787       15.7906211401
        0.6295896016       15.3932865017
        0.6361423245       15.3285558489
        0.6426950474       15.8812960050
        0.6492477703       15.9430980875
        0.6558004932       15.6576338577
        0.6623532160       15.9654095004
        0.6689059389       16.5282030265
        0.6754586618       16.4227371880
        0.6820113847       16.5440233475
        0.6885641076       16.5061612757
        0.6951168305       15.5464710105
        0.7016695533       15.4810433567
        0.7082222762       15.5546302582
        0.7147749991       14.3570493583
        0.7213277220       10.2330582610
        0.7278804449       10.4026448723
        0.7344331678       10.1943371662
        0.7409858906        9.9691074420
        0.7475386135        9.9094012180
        0.7540913364        9.9197317761
        0.7606440593        9.8645877449
        0.7671967822        9.6405673121
        0.7737495051        9.3796998474
        0.7803022279        9.4372019090
        0.7868549508        9.5520376320
        0.7934076737        9.8104349006
        0.7999603966        9.7344349435
        0.8065131195        9.5875092195
        0.8130658424        9.3060314913
        0.8196185652        9.0885628422
        0.8261712881        8.9740266012
        0.8327240110        9.0582209386
        0.8392767339        9.1263859785
        0.8458294568        8.9570855536
        0.8523821797        8.8056856830
        0.8589349025        8.6211210555
        0.8654876254        8.3831280509
        0.8720403483        8.2191470505
        0.8785930712        8.0505762823
        0.8851457941        7.8383907773
        0.8916985170        7.2437275339
        0.8982512398        6.1971092566
        0.9048039627        5.2370293562
        0.9113566856        4.9424782132
        0.9179094085        5.1385183113
        0.9244621314        5.9490786812
        0.9310148543        8.5400163712
        0.9375675771       11.9177760909
        0.9441203000       12.6969069940
        0.9506730229       12.4727099935
        0.9572257458       12.9120991342
        0.9637784687       15.8442214586
        0.9703311916       16.9111651322
        0.9768839144       20.2195173749
        0.9834366373       21.8552208629
        0.9899893602       20.9043619293
        0.9965420831       19.8039834652
        1.0030948060       20.1519908956
        1.0096475289       21.5273433809
        1.0162002517       17.6913531563
        1.0227529746       16.2885799914
        1.0293056975       15.6369982451
        1.0358584204       13.2422793848
        1.0424111433       11.4364688134
        1.0489638662       10.0927733337
        1.0555165890        8.8617513292
        1.0620693119        7.5358589809
        1.0686220348        6.5614441034
        1.0751747577        4.8474567023
        1.0817274806        2.9085802283
        1.0882802035        1.3759191074
        1.0948329263        1.1876961854
        1.1013856492        1.0125479764
        1.1079383721        0.8403508861
        1.1144910950        0.6252614165
        1.1210438179        0.3041084762
        1.1275965408        0.0000000000
        1.1341492636        0.0000000000
        1.1407019865        0.0000000000
        1.1472547094        0.0000000000
        1.1538074323        0.0000000000
        1.1603601552        0.0000000000
        1.1669128781        0.0000000000
        1.1734656009        0.0000000000
        1.1800183238        0.0000000000
        1.1865710467        0.0000000000
        1.1931237696        0.0000000000
        1.1996764925        0.0000000000
        1.2062292154        0.0000000000
        1.2127819382        0.0000000000
        1.2193346611        0.0000000000
        1.2258873840        0.0000000000
        1.2324401069        0.0000000000
