TimeStep	J_x_ref	J_y_ref	J_z_ref	Jconv_x_ref	Jconv_y_ref	Jconv_z_ref	Jcond_x_ref	Jcond_y_ref	Jcond_z_ref
193	21.3089	7.10507E-06	-2.01624E-06	-11.0443	6.00658E-06	2.32759E-07	32.3531	1.09849E-06	-0.000002249
194	20.3164	6.95504E-06	-2.05728E-06	-10.2854	5.89033E-06	1.56158E-07	30.6018	1.06471E-06	-2.21343E-06
195	19.7096	6.78168E-06	-2.09756E-06	-9.20321	5.76285E-06	7.4804E-08	28.9128	1.01883E-06	-2.17236E-06
196	19.4761	6.58652E-06	-2.13644E-06	-7.80481	5.62488E-06	-1.05953E-08	27.2809	9.61633E-07	-2.12585E-06
197	19.5985	6.37139E-06	-2.17313E-06	-6.10036	5.47729E-06	-9.92191E-08	25.6989	8.94105E-07	-2.07391E-06
198	20.0551	6.13839E-06	-2.20668E-06	-4.10309	5.32096E-06	-1.90153E-07	24.1582	8.1743E-07	-2.01653E-06
199	20.8203	5.88982E-06	-2.23606E-06	-1.82928	5.15684E-06	-2.82413E-07	22.6496	7.3298E-07	-1.95364E-06
200	21.8661	5.62824E-06	-2.26014E-06	0.701769	4.98593E-06	-3.74956E-07	21.1643	6.42316E-07	-1.88518E-06
201	23.1623	5.35637E-06	-2.27777E-06	3.46784	4.80923E-06	-4.66717E-07	19.6945	5.47141E-07	-1.81106E-06
202	24.6781	5.07708E-06	-2.28777E-06	6.44397	4.62778E-06	-5.56604E-07	18.2342	4.49297E-07	-1.73116E-06
203	26.3826	4.79332E-06	-2.28898E-06	9.60273	4.44261E-06	-6.43536E-07	16.7799	3.50703E-07	-1.64545E-06
204	28.2455	4.50812E-06	-2.2804E-06	12.9144	4.25478E-06	-7.26465E-07	15.331	2.53338E-07	-1.55393E-06
205	30.2381	4.22447E-06	-2.26109E-06	16.3476	4.06531E-06	-8.04381E-07	13.8905	1.59157E-07	-1.45671E-06
206	32.3336	3.94531E-06	-2.23035E-06	19.8691	3.87522E-06	-8.7633E-07	12.4646	7.00887E-08	-1.35402E-06
207	34.508	3.67343E-06	-2.18767E-06	23.4449	3.68551E-06	-9.41443E-07	11.0631	-1.20754E-08	-1.24623E-06
208	36.7397	3.41149E-06	-2.13281E-06	27.0405	3.49716E-06	-9.98933E-07	9.6992	-8.56668E-08	-1.13388E-06
209	39.0102	3.16183E-06	-2.06586E-06	30.621	3.3111E-06	-1.04813E-06	8.38919	-1.49266E-07	-1.01773E-06
210	41.304	2.92654E-06	-1.98713E-06	34.1522	3.12823E-06	-1.08845E-06	7.15176	-2.01687E-07	-8.98674E-07
211	43.608	2.70737E-06	-1.89729E-06	37.6005	2.94941E-06	-1.11947E-06	6.00745	-2.42043E-07	-7.77823E-07
212	45.9117	2.50568E-06	-1.79731E-06	40.9339	2.77546E-06	-1.14087E-06	4.97785	-2.69774E-07	-6.56435E-07
213	48.2067	2.32241E-06	-1.68841E-06	44.1219	2.6071E-06	-1.1525E-06	4.08474	-2.84684E-07	-5.35909E-07
214	50.4858	2.15809E-06	-1.57203E-06	47.1367	2.44502E-06	-1.15433E-06	3.34914	-2.86925E-07	-4.17697E-07
215	52.7429	2.01282E-06	-1.44984E-06	49.9525	2.28984E-06	-1.1465E-06	2.79041	-2.77016E-07	-3.03335E-07
216	54.9722	1.88627E-06	-1.32359E-06	52.5469	2.14209E-06	-1.1293E-06	2.42529	-2.55822E-07	-1.94288E-07
217	57.1677	1.77768E-06	-1.19516E-06	54.9006	2.00224E-06	-1.10318E-06	2.26713	-2.24559E-07	-9.19755E-08
218	59.3225	1.68594E-06	-1.06641E-06	56.9975	1.87066E-06	-1.06874E-06	2.32507	-1.84728E-07	2.32513E-09
219	61.4287	1.60954E-06	-9.39198E-07	58.8252	1.74766E-06	-1.02673E-06	2.60353	-1.38116E-07	8.75368E-08
220	63.4768	1.54671E-06	-8.15249E-07	60.3751	1.63342E-06	-9.78059E-07	3.1017	-8.67118E-08	1.6281E-07
221	65.4555	1.49539E-06	-6.96177E-07	61.6421	1.52807E-06	-9.23743E-07	3.81332	-3.26784E-08	2.27566E-07
222	67.3516	1.45337E-06	-5.834E-07	62.625	1.43164E-06	-8.64927E-07	4.7266	2.17292E-08	2.81528E-07
223	69.1504	1.41826E-06	-4.78165E-07	63.3261	1.34406E-06	-8.02859E-07	5.8243	7.42063E-08	3.24694E-07
224	70.8354	1.38766E-06	-3.81496E-07	63.7513	1.26515E-06	-7.38854E-07	7.08412	1.22505E-07	3.57358E-07
225	72.3888	1.35912E-06	-2.94207E-07	63.9097	1.19466E-06	-6.74279E-07	8.47911	1.64461E-07	3.80073E-07
226	73.7922	1.33033E-06	-2.16924E-07	63.8138	1.13222E-06	-6.10522E-07	9.97835	1.98109E-07	3.93599E-07
227	75.0266	1.29909E-06	-1.50101E-07	63.4788	1.07736E-06	-5.4896E-07	11.5478	2.21729E-07	3.98859E-07
228	76.0737	1.2634E-06	-9.40436E-08	62.9227	1.02951E-06	-4.90926E-07	13.151	2.33895E-07	3.96882E-07
229	76.916	1.22154E-06	-4.89508E-08	62.1656	9.87985E-07	-4.37679E-07	14.7504	2.3356E-07	3.88728E-07
230	77.5378	1.17209E-06	-1.49382E-08	61.2297	9.52015E-07	-3.90375E-07	16.3081	2.20072E-07	3.75437E-07
231	77.9259	1.11396E-06	7.9071E-09	60.1388	9.20737E-07	-3.50045E-07	17.787	1.93222E-07	3.57953E-07
232	78.0701	1.04643E-06	1.94828E-08	58.9182	8.93206E-07	-3.17583E-07	19.152	1.53228E-07	3.37066E-07
233	77.9642	9.69168E-07	1.97499E-08	57.5936	8.68416E-07	-2.93701E-07	20.3705	1.00752E-07	3.13451E-07
234	77.6058	8.82176E-07	8.57377E-09	56.1919	8.45309E-07	-2.78956E-07	21.4139	3.68663E-08	2.87529E-07
235	76.9976	7.85823E-07	-1.4161E-08	54.7396	8.22812E-07	-2.73727E-07	22.258	-3.69897E-08	2.59566E-07
236	76.147	6.80782E-07	-4.85919E-08	53.2635	7.99843E-07	-2.7823E-07	22.8835	-1.19062E-07	2.29638E-07
237	75.0665	5.67991E-07	-9.48407E-08	51.79	7.75351E-07	-2.92518E-07	23.2765	-2.07359E-07	1.97678E-07
238	73.7739	4.48638E-07	-1.53022E-07	50.3448	7.48337E-07	-3.16512E-07	23.4291	-2.997E-07	1.6349E-07
239	72.2917	3.24043E-07	-2.23173E-07	48.9528	7.17873E-07	-3.50003E-07	23.3389	-3.9383E-07	1.2683E-07
240	70.6472	1.95645E-07	-3.05228E-07	47.6381	6.83122E-07	-3.92679E-07	23.0091	-4.87478E-07	8.74513E-08
241	68.8717	6.49416E-08	-3.9901E-07	46.4234	6.43372E-07	-4.44153E-07	22.4483	-5.7843E-07	4.5143E-08
242	67.0003	-6.65833E-08	-5.04178E-07	45.3305	5.98027E-07	-5.0398E-07	21.6698	-6.6461E-07	-1.97726E-10
243	65.071	-1.97509E-07	-6.20195E-07	44.3797	5.46633E-07	-5.71667E-07	20.6913	-7.44142E-07	-4.85276E-08
244	63.1242	-3.26485E-07	-7.46335E-07	43.5902	4.88879E-07	-6.46709E-07	19.5341	-8.15364E-07	-9.96257E-08
245	61.2017	-4.52329E-07	-8.81657E-07	42.9795	4.24585E-07	-7.28591E-07	18.2222	-8.76914E-07	-1.53067E-07
246	59.3457	-5.73977E-07	-1.02501E-06	42.5639	3.53722E-07	-8.16808E-07	16.7818	-9.27698E-07	-2.08203E-07
247	57.5986	-6.90558E-07	-1.17504E-06	42.3583	2.76384E-07	-9.10862E-07	15.2404	-9.66942E-07	-2.64182E-07
248	56.0016	-8.01348E-07	-1.33022E-06	42.3758	1.928E-07	-1.01028E-06	13.6257	-9.94148E-07	-3.19946E-07
249	54.5939	-9.0584E-07	-1.48887E-06	42.6283	1.03298E-07	-1.11459E-06	11.9656	-1.00914E-06	-3.74281E-07
250	53.4125	-1.00369E-06	-1.64919E-06	43.1258	8.30718E-09	-1.22336E-06	10.2867	-0.000001012	-4.25833E-07
251	52.4909	-1.09471E-06	-1.80932E-06	43.8767	-9.16397E-08	-1.33615E-06	8.61419	-1.00307E-06	-4.73164E-07
252	51.8589	-1.17888E-06	-1.96736E-06	44.8879	-1.95945E-07	-1.45255E-06	6.97099	-9.82932E-07	-5.14804E-07
253	51.5419	-1.25628E-06	-2.12142E-06	46.1643	-3.03939E-07	-1.57213E-06	5.37754	-9.52342E-07	-5.49291E-07
254	51.5603	-1.32715E-06	-2.26972E-06	47.709	-4.14899E-07	-1.69447E-06	3.85129	-9.12255E-07	-5.75248E-07
255	51.9297	-1.3918E-06	-2.41053E-06	49.5233	-5.28052E-07	-1.81912E-06	2.40642	-8.6375E-07	-5.91415E-07
256	52.66	-1.45062E-06	-2.54234E-06	51.6064	-6.42591E-07	-1.94563E-06	1.05364	-8.08028E-07	-5.96705E-07
257	53.7559	-1.50405E-06	-2.66379E-06	53.9557	-7.57682E-07	-2.07354E-06	-0.199887	-7.46364E-07	-5.90255E-07
258	55.2162	-1.55257E-06	-2.77378E-06	56.5668	-8.72477E-07	-2.20234E-06	-1.35059	-6.80093E-07	-5.71443E-07
259	57.0347	-1.59666E-06	-2.87146E-06	59.4331	-9.86115E-07	-2.33153E-06	-2.39841	-6.10543E-07	-5.39926E-07
260	59.1996	-1.63677E-06	-2.95625E-06	62.5463	-1.09774E-06	-2.46059E-06	-3.34668	-5.39029E-07	-4.95655E-07
261	61.6944	-1.67334E-06	-3.02787E-06	65.8962	-1.20651E-06	-2.58899E-06	-4.20184	-4.66829E-07	-4.38887E-07
262	64.4979	-1.70673E-06	-3.08637E-06	69.4711	-1.31162E-06	-2.71618E-06	-4.97322	-3.95109E-07	-3.7019E-07
263	67.5848	-1.7372E-06	-3.13208E-06	73.2573	-1.41227E-06	-2.84166E-06	-5.67257	-3.24936E-07	-2.90424E-07
264	70.9262	-1.76496E-06	-3.16564E-06	77.2399	-1.50773E-06	-2.96489E-06	-6.31373	-2.57229E-07	-2.00745E-07
265	74.4903	-1.79004E-06	-3.18794E-06	81.4023	-1.59731E-06	-3.08539E-06	-6.91208	-1.92734E-07	-1.0255E-07
266	78.2427	-1.81243E-06	-3.20019E-06	85.7267	-1.6804E-06	-3.2027E-06	-7.48405	-1.32032E-07	2.50908E-09
267	82.1475	-1.83194E-06	-3.20377E-06	90.1941	-1.75643E-06	-3.31637E-06	-8.04654	-7.55087E-08	1.12598E-07
268	86.1677	-1.84826E-06	-3.20029E-06	94.7841	-1.82492E-06	-3.42601E-06	-8.61637	-2.33462E-08	2.2572E-07
269	90.2657	-1.86105E-06	-3.19148E-06	99.4754	-1.88546E-06	-3.53126E-06	-9.20971	2.44157E-08	3.39773E-07
270	94.4044	-1.86979E-06	-3.17919E-06	104.246	-1.93772E-06	-3.63178E-06	-9.84152	6.79311E-08	4.52589E-07
271	98.5474	-1.87395E-06	-3.16528E-06	109.072	-1.98142E-06	-3.72727E-06	-10.525	1.07468E-07	5.61995E-07
272	102.66	-1.87295E-06	-3.15163E-06	113.931	-2.01635E-06	-3.81748E-06	-11.2712	1.43409E-07	6.65849E-07
273	106.708	-1.86619E-06	-3.14002E-06	118.797	-2.04239E-06	-3.90213E-06	-12.0886	1.76198E-07	7.62114E-07
274	110.662	-1.85313E-06	-3.13212E-06	123.645	-2.05944E-06	-3.98101E-06	-12.9828	2.06309E-07	8.48897E-07
275	114.493	-1.83327E-06	-3.1294E-06	128.449	-2.06747E-06	-4.0539E-06	-13.9562	2.34198E-07	9.24501E-07
276	118.175	-1.80618E-06	-3.13313E-06	133.184	-2.06648E-06	-4.12059E-06	-15.0085	2.60294E-07	9.87461E-07
277	121.687	-1.77157E-06	-3.14426E-06	137.823	-2.05651E-06	-4.18086E-06	-16.1358	2.84942E-07	1.03661E-06
278	125.009	-1.72929E-06	-3.16348E-06	142.341	-2.03767E-06	-4.23454E-06	-17.3317	3.08381E-07	1.07106E-06
279	128.124	-1.67931E-06	-3.19113E-06	146.711	-2.01006E-06	-4.28142E-06	-18.5872	3.3075E-07	1.0903E-06
280	131.018	-1.6218E-06	-3.2272E-06	150.909	-1.97384E-06	-4.32133E-06	-19.8912	3.52038E-07	1.09413E-06
281	133.678	-1.55706E-06	-3.27135E-06	154.909	-1.92919E-06	-4.35409E-06	-21.2311	3.72135E-07	1.08274E-06
282	136.097	-1.48556E-06	-3.32288E-06	158.69	-1.87635E-06	-4.37953E-06	-22.5931	3.90787E-07	1.05665E-06
283	138.264	-1.40792E-06	-3.38079E-06	162.228	-1.81557E-06	-4.39753E-06	-23.9636	4.07657E-07	1.01674E-06
284	140.174	-1.32487E-06	-3.44377E-06	165.503	-1.74717E-06	-4.40797E-06	-25.3292	4.22306E-07	9.64199E-07
285	141.819	-1.23728E-06	-3.51026E-06	168.497	-1.6715E-06	-4.41075E-06	-26.6778	4.34227E-07	9.00496E-07
286	143.193	-1.14605E-06	-3.5785E-06	171.192	-1.58896E-06	-4.40585E-06	-27.9991	4.42911E-07	8.2735E-07
287	144.29	-1.05221E-06	-3.64655E-06	173.575	-0.0000015	-4.39323E-06	-29.2849	4.47796E-07	7.46676E-07
288	145.104	-9.56741E-07	-3.71239E-06	175.635	-1.40513E-06	-4.37293E-06	-30.5302	4.48386E-07	6.60548E-07
289	145.628	-8.60698E-07	-3.77393E-06	177.361	-1.30489E-06	-4.34504E-06	-31.7328	4.44197E-07	5.71113E-07
290	145.855	-7.65092E-07	-3.82911E-06	178.748	-1.19992E-06	-4.30967E-06	-32.8938	4.34826E-07	4.8056E-07
291	145.776	-6.7089E-07	-3.87592E-06	179.793	-1.09086E-06	-4.26698E-06	-34.017	4.19975E-07	3.91058E-07
292	145.387	-5.79021E-07	-3.91254E-06	180.496	-9.78457E-07	-4.21719E-06	-35.1094	3.99436E-07	3.04655E-07
293	144.679	-4.90328E-07	-3.93726E-06	180.859	-8.63471E-07	-4.16055E-06	-36.1797	3.73144E-07	2.23292E-07
294	143.651	-4.05582E-07	-3.94865E-06	180.889	-7.46736E-07	-4.09735E-06	-37.2385	3.41155E-07	1.48703E-07
295	142.298	-3.25475E-07	-3.94557E-06	180.595	-6.29138E-07	-4.02792E-06	-38.2967	3.03663E-07	8.23538E-08
296	140.624	-2.50598E-07	-3.92715E-06	179.989	-5.11609E-07	-3.95261E-06	-39.3651	2.61011E-07	2.54661E-08
297	138.632	-1.81483E-07	-3.8929E-06	179.086	-3.95138E-07	-3.87181E-06	-40.4532	2.13654E-07	-2.10885E-08
298	136.335	-1.18535E-07	-3.84266E-06	177.903	-2.80745E-07	-3.78592E-06	-41.568	1.6221E-07	-5.67403E-08
299	133.747	-6.21318E-08	-3.77664E-06	176.46	-1.6951E-07	-3.69537E-06	-42.7134	1.07378E-07	-8.12709E-08
300	130.89	-1.25913E-08	-3.69539E-06	174.78	-6.25394E-08	-3.60058E-06	-43.8892	4.99481E-08	-9.48049E-08
301	127.794	2.98658E-08	-3.59981E-06	172.885	3.90339E-08	-3.50203E-06	-45.0904	-9.16817E-09	-9.7781E-08
302	124.493	6.49959E-08	-3.49113E-06	170.801	1.34054E-07	-3.40017E-06	-46.307	-6.9058E-08	-9.09576E-08
303	121.029	9.26041E-08	-3.37082E-06	168.553	2.21359E-07	-3.29549E-06	-47.5239	-1.28755E-07	-7.53255E-08
304	117.447	1.12487E-07	-3.24058E-06	166.168	2.99795E-07	-3.18848E-06	-48.7207	-1.87308E-07	-5.21041E-08
305	113.799	1.24435E-07	-3.10235E-06	163.672	3.68231E-07	-3.07964E-06	-49.8726	-2.43795E-07	-2.2708E-08
306	110.141	1.28222E-07	-2.95813E-06	161.092	4.25578E-07	-2.9695E-06	-50.951	-2.97356E-07	1.13676E-08
307	106.528	1.23576E-07	-2.81001E-06	158.453	4.70801E-07	-2.85858E-06	-51.9243	-3.47225E-07	4.85652E-08
308	103.021	1.10187E-07	-2.6601E-06	155.78	5.02942E-07	-2.74742E-06	-52.7595	-3.92755E-07	8.73148E-08
309	99.6737	8.77025E-08	-2.51047E-06	153.097	5.21132E-07	-2.63657E-06	-53.4233	-4.33429E-07	1.26098E-07
310	96.5425	5.57138E-08	-2.36305E-06	150.426	5.24613E-07	-2.52657E-06	-53.8835	-4.68899E-07	1.63517E-07
311	93.6771	1.37934E-08	-2.21965E-06	147.787	5.12753E-07	-2.41796E-06	-54.1103	-4.9896E-07	1.98313E-07
312	91.122	-3.85537E-08	-2.08183E-06	145.2	4.85042E-07	-2.31125E-06	-54.0781	-5.23596E-07	2.29415E-07
313	88.9148	-1.01815E-07	-1.95097E-06	142.681	4.41122E-07	-2.20693E-06	-53.7663	-5.42937E-07	2.55962E-07
314	87.0851	-1.76521E-07	-1.82812E-06	140.246	3.80771E-07	-2.10546E-06	-53.1607	-5.57292E-07	2.77336E-07
315	85.6535	-2.6316E-07	-1.71407E-06	137.907	3.03922E-07	-2.00724E-06	-52.2537	-5.67083E-07	2.93165E-07
316	84.6315	-3.62213E-07	-1.6093E-06	135.677	2.10643E-07	-1.91263E-06	-51.0455	-5.72856E-07	3.03328E-07
317	84.0209	-4.7411E-07	-1.51397E-06	133.565	1.01146E-07	-1.82192E-06	-49.5441	-5.75256E-07	3.07955E-07
318	83.8143	-5.99193E-07	-1.42792E-06	131.579	-2.4227E-08	-1.73535E-06	-47.7651	-5.74966E-07	3.07425E-07
319	83.9954	-7.37743E-07	-1.35072E-06	129.727	-1.65018E-07	-1.65306E-06	-45.7315	-5.72725E-07	3.02336E-07
320	84.5395	-8.899E-07	-1.28166E-06	128.013	-3.20652E-07	-1.57515E-06	-43.4734	-5.69249E-07	2.9349E-07
321	85.4146	-1.05568E-06	-1.2198E-06	126.441	-4.90457E-07	-1.50166E-06	-41.0268	-5.65227E-07	2.81859E-07
322	86.5826	-1.23498E-06	-1.16399E-06	125.015	-6.73676E-07	-1.43253E-06	-38.4328	-5.61303E-07	2.68544E-07
323	88.0001	-1.42753E-06	-1.11292E-06	123.737	-8.69475E-07	-1.36768E-06	-35.7366	-5.58051E-07	2.54759E-07
324	89.6204	-1.6329E-06	-1.06521E-06	122.606	-1.07695E-06	-1.30695E-06	-32.9856	-5.55955E-07	2.4174E-07
325	91.3944	-1.85053E-06	-1.01943E-06	121.623	-1.29513E-06	-1.25017E-06	-30.2288	-5.55401E-07	2.30732E-07
326	93.2721	-2.07967E-06	-9.74133E-07	120.787	-1.52299E-06	-1.19707E-06	-27.5146	-5.56682E-07	2.22942E-07
327	95.2041	-2.31947E-06	-9.27964E-07	120.094	-1.75948E-06	-1.14742E-06	-24.8898	-5.59992E-07	2.19453E-07
328	97.1427	-2.56891E-06	-8.79677E-07	119.541	-2.00348E-06	-1.1009E-06	-22.3982	-5.65429E-07	2.21219E-07
329	99.0434	-2.82682E-06	-8.2818E-07	119.122	-2.25383E-06	-1.05719E-06	-20.079	-5.72989E-07	2.2901E-07
330	100.865	-3.09193E-06	-7.72606E-07	118.831	-2.50935E-06	-1.01597E-06	-17.9659	-5.82588E-07	2.43362E-07
331	102.573	-3.36287E-06	-7.12327E-07	118.659	-2.76881E-06	-9.76882E-07	-16.0858	-5.94065E-07	2.64555E-07
332	104.136	-3.63814E-06	-6.46959E-07	118.595	-3.03096E-06	-9.39581E-07	-14.4589	-6.07173E-07	2.92622E-07
333	105.53	-3.91616E-06	-5.76416E-07	118.627	-3.29454E-06	-9.03716E-07	-13.0971	-6.21621E-07	3.27299E-07
334	106.736	-4.19528E-06	-5.00886E-07	118.74	-3.55823E-06	-8.68936E-07	-12.0048	-6.3705E-07	3.68051E-07
335	107.741	-4.4738E-06	-4.20846E-07	118.919	-3.82074E-06	-8.34918E-07	-11.1786	-6.53055E-07	4.14071E-07
336	108.538	-4.74996E-06	-3.37016E-07	119.146	-4.08075E-06	-8.01339E-07	-10.6077	-6.69204E-07	4.64323E-07
337	109.127	-0.000005022	-2.50345E-07	119.401	-4.33695E-06	-7.67906E-07	-10.2747	-6.8505E-07	5.17561E-07
338	109.508	-5.28817E-06	-1.6202E-07	119.665	-4.58803E-06	-7.34366E-07	-10.1564	-7.00137E-07	5.72346E-07
339	109.69	-5.54674E-06	-7.33444E-08	119.914	-4.83272E-06	-7.00487E-07	-10.2246	-7.1402E-07	6.27143E-07
340	109.68	-5.79603E-06	1.42537E-08	120.128	-5.06976E-06	-6.66078E-07	-10.448	-7.26276E-07	6.80332E-07
341	109.491	-6.03446E-06	9.92795E-08	120.283	-5.29794E-06	-6.31007E-07	-10.7926	-7.3652E-07	7.30286E-07
342	109.134	-6.26052E-06	1.80247E-07	120.358	-5.51612E-06	-5.95173E-07	-11.2236	-7.44406E-07	7.7542E-07
343	108.623	-6.47285E-06	2.55714E-07	120.329	-5.7232E-06	-5.5854E-07	-11.7064	-7.4965E-07	8.14254E-07
344	107.969	-6.67019E-06	3.24362E-07	120.177	-5.91817E-06	-5.2111E-07	-12.2079	-7.52018E-07	8.45472E-07
345	107.184	-6.85148E-06	3.84997E-07	119.882	-6.10013E-06	-4.82948E-07	-12.6974	-7.51351E-07	8.67945E-07
346	106.276	-7.01577E-06	4.36655E-07	119.424	-6.26824E-06	-4.44156E-07	-13.1478	-7.47531E-07	8.80811E-07
347	105.252	-7.16233E-06	4.78584E-07	118.788	-6.42181E-06	-4.04889E-07	-13.536	-7.40526E-07	8.83473E-07
348	104.116	-7.29056E-06	5.10306E-07	117.959	-6.56023E-06	-3.65334E-07	-13.8435	-7.3033E-07	8.7564E-07
349	102.869	-7.40005E-06	5.31611E-07	116.926	-6.68304E-06	-3.25717E-07	-14.0569	-7.17018E-07	8.57328E-07
350	101.511	-7.49056E-06	5.42579E-07	115.678	-6.78987E-06	-2.86281E-07	-14.1678	-7.00688E-07	8.2886E-07
351	100.037	-7.56202E-06	5.43585E-07	114.21	-6.88052E-06	-2.47288E-07	-14.1727	-6.81494E-07	7.90873E-07
352	98.4427	-7.61449E-06	5.35266E-07	112.516	-6.95488E-06	-2.09003E-07	-14.0729	-6.5961E-07	7.44269E-07
353	96.7205	-7.6482E-06	5.1851E-07	110.594	-7.01295E-06	-1.71696E-07	-13.8739	-6.35245E-07	6.90206E-07
354	94.862	-7.66353E-06	4.94445E-07	108.447	-7.05489E-06	-1.35611E-07	-13.5852	-6.08644E-07	6.30056E-07
355	92.8582	-7.66098E-06	4.64368E-07	106.077	-7.08092E-06	-1.00979E-07	-13.2189	-5.80058E-07	5.65347E-07
356	90.7005	-7.64116E-06	4.29733E-07	103.49	-7.09139E-06	-6.79959E-08	-12.7898	-5.49771E-07	4.97729E-07
357	88.3806	-7.60481E-06	3.92083E-07	100.695	-7.08674E-06	-3.68237E-08	-12.3141	-5.18065E-07	4.28907E-07
358	85.8917	-7.55273E-06	3.5302E-07	97.7005	-7.0675E-06	-7.57347E-09	-11.8088	-4.85233E-07	3.60594E-07
359	83.2288	-7.48585E-06	3.14146E-07	94.5198	-7.03427E-06	1.9694E-08	-11.291	-4.51575E-07	2.94452E-07
360	80.3895	-7.40511E-06	2.77003E-07	91.1663	-6.98773E-06	4.49684E-08	-10.7769	-4.17386E-07	2.32034E-07
361	77.374	-7.31155E-06	2.43051E-07	87.6552	-6.92861E-06	6.83004E-08	-10.2812	-3.82944E-07	1.74751E-07
362	74.1862	-7.20622E-06	2.13617E-07	84.0028	-6.8577E-06	8.97997E-08	-9.81663	-3.48514E-07	1.23817E-07
363	70.8334	-7.09019E-06	1.89849E-07	80.2266	-6.77585E-06	1.09622E-07	-9.39322	-3.14342E-07	8.02275E-08
364	67.3267	-6.96456E-06	1.72713E-07	76.3446	-6.68392E-06	1.27983E-07	-9.01793	-2.8064E-07	4.47301E-08
365	63.6814	-6.8304E-06	1.62962E-07	72.3758	-6.58282E-06	1.45142E-07	-8.69434	-2.47578E-07	1.78199E-08
366	59.9167	-6.68879E-06	1.61108E-07	68.3392	-6.47347E-06	1.61391E-07	-8.4225	-2.15323E-07	-2.8393E-10
367	56.0555	-6.54079E-06	1.67456E-07	64.2543	-6.3568E-06	1.77056E-07	-8.19883	-1.8399E-07	-9.60004E-09
368	52.1245	-6.38744E-06	1.82107E-07	60.1408	-6.23376E-06	1.92487E-07	-8.01625	-1.53681E-07	-1.03799E-08
369	48.1538	-6.22975E-06	2.04957E-07	56.0182	-6.10526E-06	2.08044E-07	-7.8644	-1.24488E-07	-3.08626E-09
370	44.1762	-6.06875E-06	2.35721E-07	51.9062	-5.97223E-06	2.2409E-07	-7.72995	-9.65197E-08	1.16309E-08
371	40.2269	-5.90541E-06	2.73986E-07	47.8239	-5.83553E-06	2.40996E-07	-7.59709	-6.98768E-08	3.29902E-08
372	36.3425	-5.74076E-06	3.19224E-07	43.7905	-5.69603E-06	2.59116E-07	-7.44807	-4.47303E-08	6.01081E-08
373	32.5607	-5.5758E-06	3.70802E-07	39.8246	-5.55452E-06	2.78793E-07	-7.26384	-2.12838E-08	9.20093E-08
374	28.9196	-5.41158E-06	4.28071E-07	35.9443	-5.41174E-06	3.00358E-07	-7.02471	1.65651E-10	1.27714E-07
375	25.4562	-5.24914E-06	4.90317E-07	32.1673	-5.26838E-06	3.24113E-07	-6.7111	1.92444E-08	1.66204E-07
376	22.2063	-5.08956E-06	5.56877E-07	28.5105	-5.12504E-06	3.50353E-07	-6.30421	3.54796E-08	2.06524E-07
377	19.2034	-4.93398E-06	6.27089E-07	24.9902	-4.98227E-06	3.7934E-07	-5.78677	4.82964E-08	2.47748E-07
378	16.478	-4.78349E-06	7.00349E-07	21.6216	-4.84052E-06	4.11324E-07	-5.14363	5.70304E-08	2.89025E-07
379	14.0567	-4.63925E-06	7.76126E-07	18.4191	-4.70018E-06	4.46525E-07	-4.36237	6.09331E-08	3.29601E-07
380	11.962	-4.50237E-06	8.53943E-07	15.3958	-4.56155E-06	4.85136E-07	-3.43377	5.91809E-08	3.68807E-07
381	10.2116	-4.37393E-06	9.33417E-07	12.5638	-4.42487E-06	5.27324E-07	-2.35219	5.09432E-08	4.06093E-07
382	8.81789	-4.25495E-06	1.01426E-06	9.93372	-4.29032E-06	5.73225E-07	-1.11583	3.53727E-08	4.41036E-07
383	7.78796	-4.14636E-06	1.09625E-06	7.51485	-4.15802E-06	6.22929E-07	0.273114	1.16633E-08	4.73317E-07
384	7.12344	-4.04889E-06	1.17923E-06	5.31497	-4.02803E-06	6.76483E-07	1.80847	-2.08613E-08	5.02746E-07
385	6.82057	-3.96321E-06	1.26313E-06	3.34039	-3.90041E-06	7.33882E-07	3.48018	-6.28001E-08	5.2925E-07
386	6.87036	-3.88971E-06	1.34795E-06	1.5959	-3.77517E-06	7.95059E-07	5.27446	-1.14537E-07	5.52888E-07
387	7.25896	-3.82857E-06	1.43369E-06	0.0847748	-3.65232E-06	8.59884E-07	7.17418	-1.76251E-07	5.73803E-07
388	7.96809	-3.77975E-06	1.52039E-06	-1.19112	-3.53188E-06	9.28149E-07	9.15921	-2.47873E-07	5.92244E-07
389	8.97556	-3.74293E-06	1.60812E-06	-2.23128	-3.41386E-06	9.99582E-07	11.2068	-3.29075E-07	6.08537E-07
390	10.2559	-3.71753E-06	1.69689E-06	-3.03647	-3.2983E-06	1.07383E-06	13.2924	-4.19238E-07	6.23057E-07
391	11.781	-3.70272E-06	1.78669E-06	-3.60857	-3.18525E-06	1.15048E-06	15.3896	-5.17475E-07	6.36218E-07
392	13.5209	-3.69743E-06	1.87748E-06	-3.95048	-3.07479E-06	1.22903E-06	17.4714	-6.22644E-07	6.48443E-07
393	15.4445	-3.7004E-06	1.96907E-06	-4.06596	-2.96703E-06	1.30896E-06	19.5104	-7.33371E-07	6.60112E-07
394	17.5199	-3.71017E-06	2.06124E-06	-3.95952	-2.86209E-06	1.38966E-06	21.4795	-8.48076E-07	6.71575E-07
