TimeStep	J_x_ref	J_y_ref	J_z_ref	Jconv_x_ref	Jconv_y_ref	Jconv_z_ref	Jcond_x_ref	Jcond_y_ref	Jcond_z_ref
44	19.5061	-2.17352E-06	-2.74376E-06	10.7492	-2.48556E-06	-1.79443E-06	8.75688	3.1204E-07	-9.4933E-07
45	14.8109	-2.19024E-06	-2.6787E-06	6.8894	-2.43016E-06	-1.74632E-06	7.9215	2.3992E-07	-9.32381E-07
46	10.3155	-2.2084E-06	-2.60789E-06	3.13078	-2.37385E-06	-1.69489E-06	7.18469	1.65449E-07	-9.12999E-07
47	6.04926	-2.22724E-06	-2.5326E-06	-0.499062	-2.31665E-06	-1.64054E-06	6.54832	8.9408E-08	-8.92063E-07
48	2.04013	-0.000002246	-2.45406E-06	-3.9727	-2.25861E-06	-1.58366E-06	6.01283	1.26058E-08	-8.704E-07
49	-1.686	-2.2639E-06	-2.3734E-06	-7.2631	-2.19977E-06	-1.52465E-06	5.5771	-6.41295E-08	-8.48749E-07
50	-5.10555	-2.28009E-06	-2.29163E-06	-10.3439	-2.14017E-06	-1.46389E-06	5.2383	-1.3992E-07	-8.27741E-07
51	-8.19752	-2.29373E-06	-2.20964E-06	-13.1894	-2.07986E-06	-1.40175E-06	4.99188	-2.13873E-07	-8.07892E-07
52	-10.9438	-2.30397E-06	-2.12818E-06	-15.7752	-2.01887E-06	-1.3386E-06	4.83148	-2.85099E-07	-7.89583E-07
53	-13.3292	-2.30997E-06	-2.04791E-06	-18.0782	-1.95725E-06	-1.2748E-06	4.74899	-3.52721E-07	-7.73107E-07
54	-15.3419	-2.3109E-06	-1.96934E-06	-20.0766	-1.89502E-06	-1.2107E-06	4.73462	-4.1588E-07	-7.58638E-07
55	-16.9734	-2.30601E-06	-1.89288E-06	-21.7505	-1.83221E-06	-1.1466E-06	4.77708	-4.73794E-07	-7.46274E-07
56	-18.2182	-2.2946E-06	-1.81886E-06	-23.0819	-1.76885E-06	-1.08282E-06	4.86372	-5.25745E-07	-7.36039E-07
57	-19.0742	-2.27613E-06	-1.74761E-06	-24.0551	-1.70497E-06	-1.01964E-06	4.98086	-5.71161E-07	-7.27964E-07
58	-19.5424	-2.25014E-06	-1.67935E-06	-24.6565	-1.64056E-06	-9.573E-07	5.11402	-6.09582E-07	-7.22051E-07
59	-19.6267	-2.21639E-06	-1.61435E-06	-24.875	-1.57565E-06	-8.96013E-07	5.24827	-6.40738E-07	-7.18339E-07
60	-19.3337	-2.17476E-06	-1.55288E-06	-24.7023	-1.51024E-06	-8.35953E-07	5.36854	-6.64518E-07	-7.1693E-07
61	-18.6725	-2.12538E-06	-1.49525E-06	-24.1325	-1.44432E-06	-7.7725E-07	5.45996	-6.81056E-07	-7.18002E-07
62	-17.6544	-2.06855E-06	-1.44179E-06	-23.1626	-1.37788E-06	-7.19982E-07	5.5082	-6.9067E-07	-7.21812E-07
63	-16.2929	-2.0048E-06	-1.39288E-06	-21.7926	-1.31089E-06	-6.64178E-07	5.49968	-6.93911E-07	-7.28701E-07
64	-14.6029	-1.93483E-06	-1.34892E-06	-20.0248	-1.24331E-06	-6.09814E-07	5.42192	-6.9152E-07	-7.39106E-07
65	-12.601	-1.85954E-06	-1.31034E-06	-17.8647	-1.17507E-06	-5.56813E-07	5.26367	-6.84471E-07	-7.53525E-07
66	-10.3051	-1.77997E-06	-1.27754E-06	-15.3202	-1.1061E-06	-5.05044E-07	5.01511	-6.7387E-07	-7.725E-07
67	-7.73379	-1.69728E-06	-1.2509E-06	-12.4018	-1.0363E-06	-4.54321E-07	4.66798	-6.60986E-07	-7.96575E-07
68	-4.90673	-1.61274E-06	-1.23071E-06	-9.12233	-9.6556E-07	-4.04418E-07	4.2156	-6.47183E-07	-8.26295E-07
69	-1.84401	-1.52763E-06	-1.21717E-06	-5.49696	-8.9376E-07	-3.55055E-07	3.65295	-6.33874E-07	-8.62119E-07
70	1.43384	-1.44323E-06	-1.21034E-06	-1.54279	-8.20763E-07	-3.05915E-07	2.97663	-6.22469E-07	-9.0443E-07
71	4.90612	-1.36077E-06	-1.21013E-06	2.72126	-7.46438E-07	-2.56648E-07	2.18486	-6.14334E-07	-9.53484E-07
72	8.5521	-1.28138E-06	-1.21624E-06	7.27467	-6.70658E-07	-2.06869E-07	1.27743	-6.10723E-07	-1.00937E-06
73	12.3512	-1.20602E-06	-1.22818E-06	12.0955	-5.93315E-07	-1.56177E-07	0.255652	-6.12705E-07	-1.07201E-06
74	16.2832	-1.13548E-06	-1.24526E-06	17.1608	-5.14325E-07	-1.04149E-07	-0.877669	-6.21152E-07	-1.14111E-06
75	20.3283	-1.07033E-06	-1.26658E-06	22.4466	-4.33655E-07	-5.036E-08	-2.11824	-6.3668E-07	-1.21622E-06
76	24.4676	-1.0109E-06	-1.29101E-06	27.9279	-3.5131E-07	5.6228E-09	-3.46029	-6.59589E-07	-1.29663E-06
77	28.683	-9.57237E-07	-1.31728E-06	33.5795	-2.67364E-07	6.42089E-08	-4.89652	-6.89872E-07	-1.38148E-06
78	32.9574	-9.09168E-07	-1.3439E-06	39.3755	-1.81966E-07	1.25802E-07	-6.4181	-7.27201E-07	-1.4697E-06
79	37.2753	-8.66239E-07	-1.36927E-06	45.2898	-9.53362E-08	1.90776E-07	-8.01455	-7.70903E-07	-1.56005E-06
80	41.6223	-8.2779E-07	-1.39169E-06	51.2961	-7.78442E-09	2.59465E-07	-9.67376	-8.20006E-07	-1.65116E-06
81	45.9861	-7.92955E-07	-1.40936E-06	57.368	8.02974E-08	3.32165E-07	-11.3819	-8.73252E-07	-1.74152E-06
82	50.3558	-7.60702E-07	-1.42044E-06	63.4792	1.68434E-07	4.09107E-07	-13.1235	-9.29136E-07	-1.82955E-06
83	54.7224	-7.29917E-07	-1.42306E-06	69.6037	2.56068E-07	4.90485E-07	-14.8812	-9.85985E-07	-1.91355E-06
84	59.0789	-6.99406E-07	-1.41539E-06	75.7154	3.42573E-07	5.7641E-07	-16.6366	-1.04198E-06	-1.9918E-06
85	63.4198	-6.67985E-07	-1.39563E-06	81.7892	4.27264E-07	6.66942E-07	-18.3694	-1.09525E-06	-2.06257E-06
86	67.7415	-6.34527E-07	-1.36203E-06	87.8	5.09408E-07	7.62062E-07	-20.0585	-1.14393E-06	-2.12409E-06
87	72.0417	-5.98006E-07	-1.31294E-06	93.7238	5.88236E-07	8.61693E-07	-21.6821	-1.18624E-06	-2.17463E-06
88	76.3193	-5.57568E-07	-1.24684E-06	99.5372	6.62967E-07	9.65683E-07	-23.2179	-1.22053E-06	-2.21252E-06
89	80.5741	-5.12521E-07	-1.16229E-06	105.218	7.3283E-07	1.07383E-06	-24.6439	-1.24535E-06	-2.23612E-06
90	84.8065	-4.62453E-07	-1.05804E-06	110.745	7.9706E-07	1.18587E-06	-25.9386	-1.25951E-06	-2.24391E-06
91	89.0169	-4.07165E-07	-9.33016E-07	116.099	8.5495E-07	1.30148E-06	-27.0818	-1.26212E-06	-2.23449E-06
92	93.2056	-3.46725E-07	-7.8631E-07	121.26	9.0585E-07	1.4203E-06	-28.0548	-1.25257E-06	-2.20661E-06
93	97.3723	-2.81487E-07	-6.17238E-07	126.214	9.49182E-07	1.54193E-06	-28.8413	-1.23067E-06	-2.15917E-06
94	101.516	-2.12065E-07	-4.25372E-07	130.943	9.8446E-07	1.66595E-06	-29.4276	-1.19652E-06	-2.09132E-06
95	105.633	-1.39299E-07	-2.10561E-07	135.436	1.01131E-06	1.7919E-06	-29.8028	-1.15061E-06	-2.00246E-06
