Timestep	J_x	J_y	J_z	Jconv_x	Jconv_y	Jconv_z	Jcond_x	Jcond_y	Jcond_z
44	19.50609636	1.58084E-06	3.61618E-05	10.74927267	-6.35426E-06	3.88904E-05	8.756823687	7.9351E-06	-2.72859E-06
45	14.81094827	-8.82374E-06	2.30125E-05	6.889531032	-1.12408E-05	1.8176E-05	7.921417237	2.41706E-06	4.83649E-06
46	10.31520387	5.72742E-05	2.35167E-06	3.13047687	5.56965E-05	1.90849E-06	7.184726998	1.57771E-06	4.4318E-07
47	6.049378425	1.23514E-05	2.5834E-05	-0.498939311	7.40916E-06	2.92345E-05	6.548317736	4.94225E-06	-3.40053E-06
48	2.040247692	1.07571E-05	1.48966E-05	-3.972596913	1.00619E-05	1.00388E-05	6.012844605	6.9523E-07	4.85784E-06
49	-1.685799243	-4.717E-05	5.73027E-05	-7.262858449	-4.80603E-05	4.7394E-05	5.577059206	8.9028E-07	9.90871E-06
50	-5.106210033	4.15557E-05	-5.59138E-05	-10.34448458	4.23279E-05	-5.29685E-05	5.238274542	-7.72147E-07	-2.94531E-06
51	-8.197936545	2.34699E-05	3.00824E-05	-13.18986044	2.9226E-05	3.73121E-05	4.991923894	-5.75605E-06	-7.22973E-06
52	-10.94385188	7.25557E-06	-1.37069E-05	-15.77532941	5.02532E-06	-7.299E-06	4.831477532	2.23025E-06	-6.40793E-06
53	-13.32915326	-1.66207E-05	3.50414E-05	-18.07813537	-1.03445E-05	3.83692E-05	4.748982105	-6.27618E-06	-3.32777E-06
54	-15.34186672	-2.06874E-06	2.53896E-05	-20.07654054	-1.3738E-06	2.91937E-05	4.734673817	-6.94939E-07	-3.80417E-06
55	-16.97303081	6.37357E-07	2.29015E-05	-21.75013125	8.28131E-06	2.53907E-05	4.777100443	-7.64395E-06	-2.48915E-06
56	-18.21810353	5.22535E-05	5.24865E-06	-23.08181511	4.99606E-05	8.41743E-06	4.863711584	2.29288E-06	-3.16879E-06
57	-19.07416136	5.71262E-05	-3.37201E-05	-24.05500896	5.86685E-05	-3.23035E-05	4.9808476	-1.54236E-06	-1.41663E-06
58	-19.54247625	1.05163E-05	-2.91553E-05	-24.65656195	1.07565E-05	-3.28376E-05	5.114085699	-2.4011E-07	3.68224E-06
59	-19.62645279	-7.39748E-05	-7.38697E-05	-24.8746933	-7.97976E-05	-7.74834E-05	5.248240511	5.8228E-06	3.61369E-06
60	-19.33386722	-0.000125778	-2.86562E-05	-24.70242493	-0.000126254	-1.5793E-05	5.36855771	4.76198E-07	-1.28633E-05
61	-18.67216097	1.5882E-05	-9.90517E-07	-24.13210193	1.75978E-05	3.41683E-06	5.459940957	-1.71581E-06	-4.40734E-06
62	-17.65447452	5.52654E-07	-5.59518E-05	-23.16266914	-5.44948E-06	-5.97128E-05	5.508194624	6.00213E-06	3.76097E-06
63	-16.29297497	4.88777E-05	-5.6885E-05	-21.79262351	4.35419E-05	-5.19003E-05	5.499648537	5.33573E-06	-4.98469E-06
64	-14.60287246	-3.47732E-05	-2.4054E-05	-20.02477905	-3.12047E-05	-1.91156E-05	5.421906591	-3.56847E-06	-4.93839E-06
65	-12.60141528	-1.91954E-07	4.88955E-06	-17.86513222	1.07649E-06	3.46952E-06	5.263716938	-1.26845E-06	1.42003E-06
66	-10.3048766	5.79213E-06	-1.78683E-05	-15.31999746	7.95175E-06	-1.68832E-05	5.015120863	-2.15962E-06	-9.8512E-07
67	-7.733896595	-4.0306E-05	-2.42941E-06	-12.4018303	-4.47433E-05	1.6297E-06	4.667933703	4.43729E-06	-4.0591E-06
68	-4.907225717	-2.27615E-06	-2.57883E-05	-9.122889766	-1.26287E-05	-2.82298E-05	4.215664049	1.03526E-05	2.44148E-06
69	-1.844008077	-3.26192E-05	-2.5266E-05	-5.496892076	-2.45593E-05	-1.45172E-05	3.652883998	-8.05991E-06	-1.07488E-05
70	1.433788942	-4.92464E-05	-2.74673E-05	-1.542892979	-5.39222E-05	-4.00365E-05	2.976681921	4.67585E-06	1.25693E-05
71	4.906082084	-2.21086E-06	-3.37698E-05	2.721296711	-6.51093E-06	-3.60814E-05	2.184785373	4.30007E-06	2.31157E-06
72	8.55209688	-2.17927E-05	2.19952E-05	7.274669306	-1.89795E-05	1.73645E-05	1.277427574	-2.81326E-06	4.63068E-06
73	12.35110452	0.000116983	-3.91634E-05	12.09539077	0.000116751	-3.35844E-05	0.255713748	2.32068E-07	-5.57903E-06
74	16.28308188	-4.84016E-05	2.0414E-05	17.16078021	-4.3866E-05	2.48777E-05	-0.877698325	-4.53566E-06	-4.46373E-06
75	20.32781964	3.76594E-06	2.03861E-05	22.44598668	3.39158E-07	2.1026E-05	-2.118167033	3.42678E-06	-6.39989E-07
76	24.46763635	3.41655E-06	9.6225E-08	27.92798243	6.1139E-06	2.45566E-06	-3.460346083	-2.69736E-06	-2.35943E-06
77	28.68298649	5.38068E-06	1.5441E-06	33.5795257	7.18832E-06	1.21245E-06	-4.896539208	-1.80764E-06	3.3165E-07
78	32.95732132	-6.033E-06	-2.35436E-06	39.37541824	-4.51217E-06	-3.04263E-06	-6.418096917	-1.52083E-06	6.88264E-07
79	37.27520084	2.13099E-05	3.38463E-05	45.28976956	2.61127E-05	3.79813E-05	-8.014568725	-4.80284E-06	-4.135E-06
80	41.62256386	-3.45788E-05	-8.10239E-06	51.29632397	-3.77415E-05	-1.27496E-05	-9.673760111	3.16263E-06	4.64719E-06
81	45.98622443	7.11174E-05	7.82951E-06	57.36814455	7.83211E-05	8.54318E-06	-11.38192012	-7.20373E-06	-7.13677E-07
82	50.35606276	6.34345E-05	1.99999E-05	63.4794616	7.24796E-05	1.06725E-05	-13.12339885	-9.04506E-06	9.32733E-06
83	54.72231994	1.78056E-05	-2.01785E-06	69.60357339	2.11599E-05	1.18719E-06	-14.88125345	-3.35427E-06	-3.20504E-06
84	59.0787643	-1.85086E-05	-7.0482E-06	75.7153275	-1.78515E-05	-1.25502E-06	-16.63656321	-6.57159E-07	-5.79318E-06
85	63.41972452	-3.5741E-05	-3.79226E-05	81.78905523	-3.76579E-05	-3.81176E-05	-18.36933071	1.91684E-06	1.94991E-07
86	67.74186086	-2.79986E-05	-5.00294E-05	87.80040356	-3.00223E-05	-5.49285E-05	-20.0585427	2.0237E-06	4.8991E-06
87	72.04193852	1.56134E-05	-3.36832E-05	93.72402063	1.48884E-05	-3.01789E-05	-21.6820821	7.24962E-07	-3.50435E-06
88	76.31943676	-6.81449E-06	3.2503E-05	99.53739527	-7.06105E-06	2.97888E-05	-23.21795851	2.46558E-07	2.71418E-06
89	80.57411265	-2.91849E-05	2.98075E-05	105.2180115	-2.2598E-05	3.64014E-05	-24.64389889	-6.58693E-06	-6.59388E-06
